model,accuracy,precision,recall,f1_score,roc_auc
My Model,0.9829239065308568,0.9790652936516917,0.9885740402193784,0.9837966911137643,0.9975276212285983
Decision Tree,0.956440982624326,0.9597799931247851,0.9570383912248629,0.9584072315349849,0.9581954531761923
Random Forest,0.9823846614739364,0.9804589865939559,0.9860603290676416,0.9832516805286544,0.9975800657794434
Naive Bayes,0.9399640503295387,0.9476663585951941,0.9372714808043876,0.9424402573529411,0.9795818472964377
